35290602,Nokia,1208,,
35290702,Nokia,1208,,
35290802,Nokia,1208,,
35293002,Nokia,1208,,
35293102,Nokia,1208,,
35350102,Nokia,1208,,
35350202,Nokia,1208,,
35350302,Nokia,1208,,
35350402,Nokia,1208,,
35351602,Nokia,1208,,
35351702,Nokia,1208,,
35351802,Nokia,1208,,
35351902,Nokia,1208,,
35352002,Nokia,1208,,
35352802,Nokia,1208,,
35353702,Nokia,1208,,
35353802,Nokia,1208,,
35353902,Nokia,1208,,
35354002,Nokia,1208,,
35354102,Nokia,1208,,
35354202,Nokia,1208,,
35354302,Nokia,1208,,
35354402,Nokia,1208,,
35638202,Nokia,1208,,
35639902,Nokia,1208,,
35640202,Nokia,1208,,
35640302,Nokia,1208,,
35678302,Nokia,1208,,
35679402,Nokia,1208,,
35680302,Nokia,1208,,
35681002,Nokia,1208,,
35681202,Nokia,1208,,
35683002,Nokia,1208,,
35682302,Nokia,1208,,
35684902,Nokia,1208,,
35685302,Nokia,1208,,
35686602,Nokia,1208,,
35686002,Nokia,1208,,
35930102,Nokia,1208,,
35931202,Nokia,1208,,
35931602,Nokia,1208,,
35933302,Nokia,1208,,
35934102,Nokia,1208,,
35933902,Nokia,1208,,
35193103,Nokia,1208,,
35194703,Nokia,1208,,
35195603,Nokia,1208,,
35196603,Nokia,1208,,
35197003,Nokia,1208,,
35320203,Nokia,1208,,
35320803,Nokia,1208,,
35321903,Nokia,1208,,
35322403,Nokia,1208,,
35319003,Nokia,1208,,
35318503,Nokia,1208,,
35417703,Nokia,1208,,
35419003,Nokia,1208,,
35419503,Nokia,1208,,
35419603,Nokia,1208,,
35420903,Nokia,1208,,
35421903,Nokia,1208,,
35422203,Nokia,1208,,
35520903,Nokia,1208,,
35522403,Nokia,1208,,
35522903,Nokia,1208,,
35522703,Nokia,1208,,
35523503,Nokia,1208,,
35602803,Nokia,1208,,
35602703,Nokia,1208,,
35604503,Nokia,1208,,
35604703,Nokia,1208,,
35607103,Nokia,1208,,
35607203,Nokia,1208,,
35691503,Nokia,1208,,
35692703,Nokia,1208,,
35693603,Nokia,1208,,
35694103,Nokia,1208,,
35799203,Nokia,1208,,
35799003,Nokia,1208,,
35799303,Nokia,1208,,
35823603,Nokia,1208,,
35799103,Nokia,1208,,
35824303,Nokia,1208,,
35825003,Nokia,1208,,
35826703,Nokia,1208,,
35826603,Nokia,1208,,
35827303,Nokia,1208,,
35827703,Nokia,1208,,
35828703,Nokia,1208,,
35829503,Nokia,1208,,
35830803,Nokia,1208,,
35831703,Nokia,1208,,
35832303,Nokia,1208,,
35933103,Nokia,1208,,
35933203,Nokia,1208,,
35933503,Nokia,1208,,
35933803,Nokia,1208,,
35934603,Nokia,1208,,
35937203,Nokia,1208,,
35937503,Nokia,1208,,
35936903,Nokia,1208,,
35150704,Nokia,1208,,
35151504,Nokia,1208,,
35152804,Nokia,1208,,
35153404,Nokia,1208,,
35154504,Nokia,1208,,
35198004,Nokia,1208,,
35199304,Nokia,1208,,
35200504,Nokia,1208,,
35201604,Nokia,1208,,
35268004,Nokia,1208,,
35268504,Nokia,1208,,
35339304,Nokia,1208,,
35639302,Nokia,1202,,
35193703,Nokia,1202,,
35193303,Nokia,1202,,
35321803,Nokia,1202,,
35322203,Nokia,1202,,
35522603,Nokia,1202,,
35605403,Nokia,1202,,
35690203,Nokia,1202,,
35801203,Nokia,1202,,
35801003,Nokia,1202,,
35801103,Nokia,1202,,
35801303,Nokia,1202,,
35152904,Nokia,1202,,
35200404,Nokia,1202,,
35271204,Nokia,1202,,
35640702,Nokia,1202,,
35682602,Nokia,1202,,
35193203,Nokia,1202,,
35196003,Nokia,1202,,
35321103,Nokia,1202,,
35319503,Nokia,1202,,
35319603,Nokia,1202,,
35418503,Nokia,1202,,
35418903,Nokia,1202,,
35422103,Nokia,1202,,
35520203,Nokia,1202,,
35521403,Nokia,1202,,
35522803,Nokia,1202,,
35524303,Nokia,1202,,
35524403,Nokia,1202,,
35523803,Nokia,1202,,
35524003,Nokia,1202,,
35604103,Nokia,1202,,
35604803,Nokia,1202,,
35606703,Nokia,1202,,
35606803,Nokia,1202,,
35690703,Nokia,1202,,
35691303,Nokia,1202,,
35692003,Nokia,1202,,
35692503,Nokia,1202,,
35694803,Nokia,1202,,
35694203,Nokia,1202,,
35798403,Nokia,1202,,
35797903,Nokia,1202,,
35801503,Nokia,1202,,
35801603,Nokia,1202,,
35823003,Nokia,1202,,
35823703,Nokia,1202,,
35603303,Nokia,1202,,
35824203,Nokia,1202,,
35799403,Nokia,1202,,
35825103,Nokia,1202,,
35826103,Nokia,1202,,
35826403,Nokia,1202,,
35826503,Nokia,1202,,
35828003,Nokia,1202,,
35828503,Nokia,1202,,
35829103,Nokia,1202,,
35831003,Nokia,1202,,
35832203,Nokia,1202,,
35832003,Nokia,1202,,
35799503,Nokia,1202,,
35932903,Nokia,1202,,
35933703,Nokia,1202,,
35934303,Nokia,1202,,
35934703,Nokia,1202,,
35935203,Nokia,1202,,
35935603,Nokia,1202,,
35936203,Nokia,1202,,
35936503,Nokia,1202,,
35150604,Nokia,1202,,
35151104,Nokia,1202,,
35151604,Nokia,1202,,
35152204,Nokia,1202,,
35151904,Nokia,1202,,
35153004,Nokia,1202,,
35155004,Nokia,1202,,
35197604,Nokia,1202,,
35198604,Nokia,1202,,
35199204,Nokia,1202,,
35199804,Nokia,1202,,
35200704,Nokia,1202,,
35202504,Nokia,1202,,
35269504,Nokia,1202,,
35267704,Nokia,1202,,
35269704,Nokia,1202,,
35270204,Nokia,1202,,
35271104,Nokia,1202,,
35338304,Nokia,1202,,
35338604,Nokia,1202,,
35340404,Nokia,1202,,
35340504,Nokia,1202,,
35830503,Nokia,1202,,
35378704,Nokia,1202,,
35433204,Nokia,1202,,
35662600,Nokia,7070 Prism,,
35637902,Nokia,7070 Prism,,
35317903,Nokia,7070 Prism,,
35417702,Nokia,1681 classic,,
35570502,Nokia,1681 classic,,
35682102,Nokia,1681 classic,,
35320103,Nokia,1681 classic,,
35317803,Nokia,1681 classic,,
35420503,Nokia,1681 classic,,
35523003,Nokia,1681 classic,,
35603803,Nokia,1681 classic,,
35798603,Nokia,1681 classic,,
35193603,Nokia,1681 classic,,
35933003,Nokia,1681 classic,,
35936603,Nokia,1681 classic,,
35154304,Nokia,1681 classic,,
35200104,Nokia,1681 classic,,
35337904,Nokia,1681 classic,,
35194303,Nokia,1661,,
35194503,Nokia,1661,,
35419803,Nokia,1661,,
35520503,Nokia,1661,,
35522103,Nokia,1661,,
35523603,Nokia,1661,,
35523303,Nokia,1661,,
35525003,Nokia,1661,,
35603703,Nokia,1661,,
35605503,Nokia,1661,,
35690403,Nokia,1661,,
35691603,Nokia,1661,,
35692103,Nokia,1661,,
35693103,Nokia,1661,,
35694003,Nokia,1661,,
35799603,Nokia,1661,,
35799703,Nokia,1661,,
35799803,Nokia,1661,,
35823303,Nokia,1661,,
35823903,Nokia,1661,,
35825203,Nokia,1661,,
35827403,Nokia,1661,,
35826903,Nokia,1661,,
35828203,Nokia,1661,,
35828603,Nokia,1661,,
35831103,Nokia,1661,,
35932803,Nokia,1661,,
35934803,Nokia,1661,,
35936403,Nokia,1661,,
35937303,Nokia,1661,,
35152004,Nokia,1661,,
35153304,Nokia,1661,,
35197804,Nokia,1661,,
35199704,Nokia,1661,,
35201304,Nokia,1661,,
35267604,Nokia,1661,,
35272204,Nokia,1661,,
35338404,Nokia,1661,,
35376504,Nokia,1661,,
35483004,Nokia,1661,,
35823403,Nokia,1616,,
35197704,Nokia,1616,,
35201704,Nokia,1616,,
35270404,Nokia,1616,,
35272304,Nokia,1616,,
35338904,Nokia,1616,,
35340604,Nokia,1616,,
35340704,Nokia,1616,,
35340804,Nokia,1616,,
35375104,Nokia,1616,,
35375204,Nokia,1616,,
35377504,Nokia,1616,,
35377604,Nokia,1616,,
35430204,Nokia,1616,,
35430304,Nokia,1616,,
35430404,Nokia,1616,,
35434204,Nokia,1616,,
35482604,Nokia,1616,,
35483504,Nokia,1616,,
35483604,Nokia,1616,,
35487104,Nokia,1616,,
35487204,Nokia,1616,,
35536804,Nokia,1616,,
35536904,Nokia,1616,,
35538704,Nokia,1616,,
35538804,Nokia,1616,,
35538904,Nokia,1616,,
35539004,Nokia,1616,,
35595104,Nokia,1616,,
35595204,Nokia,1616,,
35595304,Nokia,1616,,
35622804,Nokia,1616,,
35622904,Nokia,1616,,
35624104,Nokia,1616,,
35624204,Nokia,1616,,
35624304,Nokia,1616,,
35699504,Nokia,1616,,
35699804,Nokia,1616,,
35699904,Nokia,1616,,
35700004,Nokia,1616,,
35737704,Nokia,1616,,
35737804,Nokia,1616,,
35737904,Nokia,1616,,
35742404,Nokia,1616,,
35787604,Nokia,1616,,
35790304,Nokia,1616,,
35790404,Nokia,1616,,
35790504,Nokia,1616,,
35826204,Nokia,1616,,
35826304,Nokia,1616,,
35826404,Nokia,1616,,
35828304,Nokia,1616,,
35828404,Nokia,1616,,
35862104,Nokia,1616,,
35862204,Nokia,1616,,
35863204,Nokia,1616,,
35863304,Nokia,1616,,
35863404,Nokia,1616,,
35904104,Nokia,1616,,
35904204,Nokia,1616,,
35904304,Nokia,1616,,
35930804,Nokia,1616,,
35933404,Nokia,1616,,
35933904,Nokia,1616,,
35977504,Nokia,1616,,
35167805,Nokia,1616,,
35284405,Nokia,1616,,
35791804,Nokia,100,,
35928304,Nokia,100,,
35928404,Nokia,100,,
35928504,Nokia,100,,
35928604,Nokia,100,,
35975504,Nokia,100,,
35975604,Nokia,100,,
35975704,Nokia,100,,
35165505,Nokia,100,,
35165605,Nokia,100,,
35194005,Nokia,100,,
35194105,Nokia,100,,
35194205,Nokia,100,,
35194305,Nokia,100,,
35325305,Nokia,100,,
35325405,Nokia,100,,
35326805,Nokia,100,,
35326905,Nokia,100,,
35367405,Nokia,100,,
35410305,Nokia,100,,
35411405,Nokia,100,,
35412405,Nokia,100,,
35455305,Nokia,100,,
35458505,Nokia,100,,
35458605,Nokia,100,,
35458705,Nokia,100,,
35458805,Nokia,100,,
35464205,Nokia,100,,
35519505,Nokia,100,,
35518905,Nokia,100,,
35547605,Nokia,100,,
35550205,Nokia,100,,
35590905,Nokia,100,,
35632005,Nokia,100,,
35634505,Nokia,100,,
35668505,Nokia,100,,
35670705,Nokia,100,,
35725905,Nokia,100,,
35729005,Nokia,100,,
35789205,Nokia,100,,
35810405,Nokia,100,,
35810505,Nokia,100,,
35810705,Nokia,100,,
35814105,Nokia,100,,
35758000,Nokia,E70,,
35758100,Nokia,E70,,
35758200,Nokia,E70,,
35664100,Nokia,8800,,
35188701,Nokia,8800,,
35188801,Nokia,8800,,
35796300,Nokia,7260,,
35881800,Nokia,7260,,
35189901,Nokia,7260,,
35454201,Nokia,7260,,
35881000,Nokia,E70,,
35881100,Nokia,E70,,
35881200,Nokia,E70,,
35793700,Nokia,6020,,
35835100,Nokia,6020,,
35838500,Nokia,6020,,
35839300,Nokia,6020,,
35840000,Nokia,6020,,
35880600,Nokia,6020,,
35974800,Nokia,6020,,
35974900,Nokia,6020,,
35975900,Nokia,6020,,
35977200,Nokia,6020,,
35362901,Nokia,6020,,
35366501,Nokia,6020,,
35395901,Nokia,6020,,
35453201,Nokia,6020,,
35484001,Nokia,6020,,
35554901,Nokia,6020,,
35770001,Nokia,6020,,
35836500,Nokia,6020b,,
35395501,Nokia,6020b,,
35975200,Nokia,8800,,
35761400,Nokia,8800,,
35761700,Nokia,6680,,
35835800,Nokia,6680,,
35835900,Nokia,6680,,
35227701,Nokia,6680,,
35227801,Nokia,6680,,
35793300,Nokia,3250,,
35793400,Nokia,3250,,
35884000,Nokia,3250,,
35189401,Nokia,3250,,
35324501,Nokia,3250,,
35325201,Nokia,3250,,
35396001,Nokia,3250,,
35643001,Nokia,3250,,
35835200,Nokia,N91,,
35835300,Nokia,N91,,
35839100,Nokia,N91,,
35363301,Nokia,N91,,
35276501,Nokia,N91,,
35276601,Nokia,N91,,
35276701,Nokia,N91,,
35621900,Nokia,E61,,
35622000,Nokia,E61,,
35622100,Nokia,E61,,
35622200,Nokia,E61,,
35539900,Nokia,3230,,
35569400,Nokia,3230,,
35666400,Nokia,3230,,
35709900,Nokia,3230,,
35882100,Nokia,3230,,
35936200,Nokia,3230,,
35274001,Nokia,3230,,
35455301,Nokia,3230,,
35627701,Nokia,3230,,
35897001,Nokia,3230,,
35884200,Nokia,N93i,,
35187101,Nokia,N93i,,
35187201,Nokia,N93i,,
35757600,Nokia,6270,,
35757900,Nokia,6270,,
35275201,Nokia,6270,,
35325901,Nokia,6270,,
35188601,Nokia,6681,,
35794100,Nokia,N71,,
35836900,Nokia,N71,,
35761200,Nokia,7370,,
35188201,Nokia,7370,,
35188301,Nokia,7370,,
35837100,Nokia,7370,,
35796400,Nokia,6230i,,
35796900,Nokia,6230i,,
35797500,Nokia,6230i,,
35836800,Nokia,6230i,,
35882700,Nokia,6230i,,
35977500,Nokia,6230i,,
35538600,Nokia,6230i,,
35622300,Nokia,6230i,,
35664400,Nokia,6230i,,
35664500,Nokia,6230i,,
35706500,Nokia,6230i,,
35706600,Nokia,6230i,,
35708200,Nokia,6230i,,
35709400,Nokia,6230i,,
35709700,Nokia,6230i,,
35709800,Nokia,6230i,,
35761600,Nokia,6230i,,
35974000,Nokia,6230i,,
